Marca,Coleção,Segmento,Ano/série/Módulo,Volume,Componente,Código,Nome,Categoria,Ativo no bigodão?,Avaliações,Coluna1,Link,Tipologia,Escala de qualidade,Nota,SAMR,Sugestões de melhorias ou observações sobre a exclusão,Reutilizado?,Onde?,Reaproveitado em algum material em 2025/2026?,
SAE,-,-,-,-,-,EXT24_3_POR_L3_A_15_OD1,Quiz gramatical,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EXT24_3_POR_L3_A_15_OD1,-,-,-,-,-,-,-,,
SAE,2024,AF,9,L3,QUI,EF21_9_QUI_L3_U3_02_OD1,Aplicações das Bases,-,SIM,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_9_QUI_L3_U3_02_OD1,-,,,,,,,,
SAE,2024,AI,2,L3,ING,EF21_2_ING_L3_U3_01_OD2,COLORS: WORD SEARCH,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_2_ING_L3_U3_01_OD2,-,Básico,4,Substituição,As cores na seleção da palavra poderiam ser as cores que estão sendo selecionadas no caça-palavras.,,,,
SAE,2024,AI,1,L2,EDF,EF22_1_EDF_L2_U1_01_OD1,BRINCADEIRAS E RODAS CANTADAS,-,NÃO,"4,4",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_1_EDF_L2_U1_01_OD1,-,Reprovado,N/A,N/A,Pouca intencionalidade pedagógica.,,,,
SAE,2024,AI,4,L1,ESP,EF22_4_ESP_L1_U1_01_OD1,Despedirse,-,NÃO,"3,957",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_4_ESP_L1_U1_01_OD1,-,,,,,,,,
SAE,2024,AF,6,L3,FIL,EF21_6_FIL_L3_U3_01_OD1,O significado da política hoje,TABS,SIM,"3,558",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_6_FIL_L3_U3_01_OD1,-,Reprovado,N/A,N/A,Não há vantagem sobre o impresso,,,,
SAE,2024,AI,1,L3,ING,EF21_1_ING_L3_U4_01_OD1,Escolha o número correto,-,SIM,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_1_ING_L3_U4_01_OD1,-,Adequado,8,Ampliação,"Excluir o número que deve ser encontrado nos balões, mantendo apenas o áudio, para que o aluno faça a associação do que ouviu com o conteúdo do balão. Feedback final deve ser em inglês.",,,,
SAE,-,-,-,-,-,EI21_2A_L1_U1_01_OD1,As cores dos elementos da natureza,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EI21_2A_L1_U1_01_OD1,-,-,-,-,-,-,-,,
SAE,2024,AF,8,L3,GEO,EF21_8_GEO_L3_U5_01_OD2,Hidrografia,-,SIM,"3,333",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_8_GEO_L3_U5_01_OD2,-,,,,,,,,
SAE,2024,AI,4,L1,ESP,EF22_4_ESP_L1_U2_02_OD1,En el centro de la ciudad,-,NÃO,2,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_4_ESP_L1_U2_02_OD1,-,,,,,,,,
SAE,2024,AI,2,L1,ING,EF22_2_ING_L1_U2_02_OD2,1 to 10,VIDEO,NÃO,"3,952",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_2_ING_L1_U2_02_OD2,VIDEO,Básico,5,Ampliação,-,,,,
SAE,2024,AF,9,L2,CIE,EF22_9_CIE_L2_U2_01_OD1,Pasteurização e ultrapasteurização,-,SIM,5,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_9_CIE_L2_U2_01_OD1,-,,,,,,,,
SAE,2024,AI,2,L2,ING,EF22_2_ING_L2_U4_02_OD2,Choose the right image according to the animal's name.,EDUCATIONAL_GAME,NÃO,"4,8",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_2_ING_L2_U4_02_OD2,-,Básico,5,Ampliação,-,,,,
